"INVOICE_CODE","ITEM_CODE","AMOUNT","QUANTITY"
"IN0656346","POCKY","7.49","180"
"IN0708521","PUCCHO","2.44","5"
"IN0369905","MEIJI","313.74","415"
"IN0848174","POCKY","3.04","73"
"IN0896536","PUCCHO","153.56","315"
"IN0251719","MEIJI","294.08","389"
"IN0129138","PUCCHO","59.96","123"
"IN0544282","MEIJI","33.26","44"
"IN0578060","PUCCHO","70.2","144"
"IN0334939","MEIJI","340.96","451"
"IN0591989","MEIJI","328.86","435"
"IN0584917","POCKY","2.75","66"
"IN0561005","MEIJI","365.9","484"
"IN0940603","MEIJI","142.88","189"
"IN0319404","POCKY","2.0","48"
"IN0427269","POCKY","9.86","237"
"IN0692082","MEIJI","117.18","155"
"IN0781852","POCKY","18.84","453"
"IN0425404","PUCCHO","189.15","388"
"IN0412562","POCKY","20.8","500"
"IN0698524","POCKY","13.15","316"
"IN0072620","POCKY","14.44","347"
"IN0288372","MEIJI","117.94","156"
"IN0556984","MEIJI","148.93","197"
"IN0134191","POCKY","20.72","498"
"IN0742295","PUCCHO","236.44","485"
"IN0505101","PUCCHO","97.01","199"
"IN0091863","PUCCHO","223.76","459"
"IN0744646","MEIJI","113.4","150"
"IN0189966","POCKY","3.62","87"
"IN0983866","MEIJI","158.0","209"
"IN0624940","PUCCHO","164.78","338"
"IN0737401","MEIJI","186.73","247"
"IN0459767","PUCCHO","40.95","84"
"IN0214249","PUCCHO","237.41","487"
"IN0602807","PUCCHO","56.55","116"
"IN0629379","PUCCHO","142.84","293"
"IN0144831","PUCCHO","31.69","65"
"IN0214294","POCKY","14.56","350"
"IN0787173","PUCCHO","117.0","240"
"IN0596084","PUCCHO","14.14","29"
"IN0229920","MEIJI","52.16","69"
"IN0844808","MEIJI","329.62","436"
"IN0757189","PUCCHO","15.6","32"
"IN0202611","MEIJI","365.9","484"
"IN0115342","MEIJI","123.98","164"
"IN0077270","POCKY","8.57","206"
"IN0041958","POCKY","19.43","467"
"IN0489594","PUCCHO","209.14","429"
"IN0803688","POCKY","4.83","116"
"IN0849909","PUCCHO","19.01","39"
"IN0897148","PUCCHO","110.66","227"
"IN0252810","PUCCHO","217.91","447"
"IN0903534","MEIJI","184.46","244"
"IN0877136","POCKY","2.75","66"
"IN0888941","MEIJI","211.68","280"
"IN0810209","MEIJI","110.38","146"
"IN0764715","PUCCHO","23.89","49"
"IN0870913","POCKY","5.87","141"
"IN0227242","PUCCHO","176.47","362"
"IN0690947","PUCCHO","184.76","379"
"IN0706722","POCKY","1.79","43"
"IN0114050","POCKY","10.28","247"
"IN0452139","POCKY","4.12","99"
"IN0607494","POCKY","6.91","166"
"IN0196072","POCKY","10.65","256"
"IN0240205","MEIJI","29.48","39"
"IN0210669","MEIJI","304.67","403"
"IN0678909","PUCCHO","237.41","487"
"IN0223511","POCKY","11.07","266"
"IN0124981","POCKY","12.73","306"
"IN0356527","PUCCHO","34.61","71"
"IN0111977","MEIJI","328.1","434"
"IN0198751","PUCCHO","138.94","285"
"IN0101530","PUCCHO","152.59","313"
"IN0348922","MEIJI","224.53","297"
"IN0095108","MEIJI","247.97","328"
"IN0361250","MEIJI","188.24","249"
"IN0211507","MEIJI","232.09","307"
"IN0743558","POCKY","6.82","164"
"IN0530228","PUCCHO","27.3","56"
"IN0822538","POCKY","17.31","416"
"IN0432626","MEIJI","123.23","163"
"IN0066904","MEIJI","76.36","101"
"IN0868507","PUCCHO","136.01","279"
"IN0046606","MEIJI","142.88","189"
"IN0703316","PUCCHO","190.61","391"
"IN0813788","POCKY","7.78","187"
"IN0061090","PUCCHO","66.3","136"
"IN0559119","POCKY","14.02","337"
"IN0896867","POCKY","12.94","311"
"IN0863644","MEIJI","290.3","384"
"IN0806592","POCKY","4.24","102"
"IN0535715","MEIJI","192.78","255"
"IN0957894","MEIJI","205.63","272"
"IN0435915","PUCCHO","235.46","483"
"IN0749325","MEIJI","34.02","45"
"IN0720667","POCKY","16.39","394"
"IN0904655","PUCCHO","179.4","368"
"IN0544847","PUCCHO","5.85","12"
"IN0116004","MEIJI","204.88","271"
"IN0069997","MEIJI","155.74","206"
"IN0976918","MEIJI","83.92","111"
"IN0657619","MEIJI","56.7","75"
"IN0846981","PUCCHO","187.2","384"
"IN0846354","POCKY","7.07","170"
"IN0269761","MEIJI","341.71","452"
"IN0992920","POCKY","18.22","438"
"IN0173229","PUCCHO","177.45","364"
"IN0952025","PUCCHO","30.71","63"
"IN0248395","POCKY","6.36","153"
"IN0824584","POCKY","0.54","13"
"IN0897034","MEIJI","216.97","287"
"IN0319570","POCKY","5.62","135"
"IN0269060","MEIJI","282.74","374"
"IN0009874","POCKY","1.16","28"
"IN0741178","POCKY","6.03","145"
"IN0173548","POCKY","20.47","492"
"IN0504564","MEIJI","232.85","308"
"IN0954330","POCKY","15.02","361"
"IN0882849","POCKY","1.08","26"
"IN0383123","MEIJI","181.44","240"
"IN0221722","MEIJI","216.97","287"
"IN0911364","POCKY","19.76","475"
"IN0607808","PUCCHO","172.09","353"
"IN0420341","MEIJI","239.65","317"
"IN0196298","POCKY","3.29","79"
"IN0030110","POCKY","13.23","318"
"IN0752262","PUCCHO","145.76","299"
"IN0627441","POCKY","10.11","243"
"IN0028211","POCKY","15.1","363"
"IN0407468","PUCCHO","234.97","482"
"IN0488468","PUCCHO","223.76","459"
"IN0877136","PUCCHO","43.39","89"
"IN0719028","MEIJI","220.75","292"
"IN0885746","PUCCHO","89.7","184"
"IN0387500","MEIJI","72.58","96"
"IN0035593","PUCCHO","62.89","129"
"IN0356598","PUCCHO","75.56","155"
"IN0577728","MEIJI","147.42","195"
"IN0244668","PUCCHO","39.49","81"
"IN0325249","MEIJI","362.88","480"
"IN0241024","MEIJI","156.49","207"
"IN0712129","MEIJI","80.89","107"
"IN0944800","PUCCHO","87.26","179"
"IN0029919","PUCCHO","45.34","93"
"IN0522705","POCKY","13.81","332"
"IN0467033","MEIJI","12.85","17"
"IN0127044","PUCCHO","82.39","169"
"IN0117803","PUCCHO","44.85","92"
"IN0513187","PUCCHO","15.11","31"
"IN0871853","MEIJI","63.5","84"
"IN0602637","PUCCHO","89.7","184"
"IN0866684","PUCCHO","203.29","417"
"IN0452334","POCKY","4.87","117"
"IN0847462","POCKY","18.89","454"
"IN0408216","PUCCHO","40.46","83"
"IN0831962","PUCCHO","22.91","47"
"IN0711498","POCKY","15.81","380"
"IN0732299","MEIJI","22.68","30"
"IN0900938","MEIJI","305.42","404"
"IN0275150","MEIJI","63.5","84"
"IN0447059","MEIJI","15.88","21"
"IN0925030","PUCCHO","157.95","324"
"IN0052242","PUCCHO","232.05","476"
"IN0656669","PUCCHO","159.41","327"
"IN0824883","POCKY","7.2","173"
"IN0573364","POCKY","20.47","492"
"IN0666557","POCKY","15.68","377"
"IN0474455","PUCCHO","10.24","21"
"IN0089868","MEIJI","127.01","168"
"IN0942603","PUCCHO","232.05","476"
"IN0050519","MEIJI","276.7","366"
"IN0542259","PUCCHO","84.83","174"
"IN0682221","POCKY","9.32","224"
"IN0728701","POCKY","12.11","291"
"IN0527510","PUCCHO","86.77","178"
"IN0170656","MEIJI","86.94","115"
"IN0374824","POCKY","11.77","283"
"IN0174556","POCKY","2.79","67"
"IN0896194","POCKY","3.79","91"
"IN0886885","PUCCHO","142.84","293"
"IN0134084","PUCCHO","103.35","212"
"IN0151729","MEIJI","265.36","351"
"IN0267483","POCKY","20.63","496"
"IN0161370","MEIJI","297.11","393"
"IN0516710","PUCCHO","235.95","484"
"IN0867365","POCKY","14.77","355"
"IN0749366","PUCCHO","25.84","53"
"IN0346020","MEIJI","44.6","59"
"IN0571476","MEIJI","242.68","321"
"IN0532751","PUCCHO","119.44","245"
"IN0976178","POCKY","1.83","44"
"IN0101904","PUCCHO","43.88","90"
"IN0866684","PUCCHO","231.07","474"
"IN0641414","PUCCHO","214.5","440"
"IN0351954","POCKY","6.45","155"
"IN0705379","PUCCHO","85.31","175"
"IN0040043","POCKY","17.31","416"
"IN0126855","PUCCHO","195.0","400"
"IN0974119","POCKY","4.45","107"
"IN0003235","POCKY","14.98","360"
"IN0347948","PUCCHO","115.05","236"
"IN0731865","PUCCHO","130.65","268"
"IN0137603","POCKY","3.54","85"
"IN0020370","POCKY","9.57","230"
"IN0453373","PUCCHO","21.45","44"
"IN0356399","MEIJI","0.76","1"
"IN0760948","MEIJI","92.99","123"
"IN0009161","MEIJI","31.0","41"
"IN0934725","PUCCHO","73.12","150"
"IN0782898","PUCCHO","12.67","26"
"IN0395697","MEIJI","306.18","405"
"IN0733194","MEIJI","361.37","478"
"IN0156367","MEIJI","161.03","213"
"IN0495467","POCKY","8.49","204"
"IN0279918","MEIJI","9.07","12"
"IN0347938","PUCCHO","159.41","327"
"IN0440056","MEIJI","31.0","41"
"IN0603327","MEIJI","11.34","15"
"IN0009920","POCKY","20.05","482"
"IN0761349","MEIJI","24.95","33"
"IN0407621","POCKY","8.74","210"
"IN0464372","MEIJI","7.56","10"
"IN0268967","MEIJI","323.57","428"
"IN0130056","POCKY","3.66","88"
"IN0468623","MEIJI","340.96","451"
"IN0756821","POCKY","11.77","283"
"IN0590629","MEIJI","303.16","401"
"IN0051026","POCKY","14.14","340"
"IN0180753","POCKY","3.41","82"
"IN0100186","PUCCHO","51.19","105"
"IN0229641","PUCCHO","218.89","449"
"IN0137064","MEIJI","374.22","495"
"IN0018964","MEIJI","173.12","229"
"IN0862523","PUCCHO","139.42","286"
"IN0943236","MEIJI","313.74","415"
"IN0018510","POCKY","17.39","418"
"IN0256751","POCKY","18.51","445"
"IN0718314","PUCCHO","206.7","424"
"IN0564598","PUCCHO","184.76","379"
"IN0325909","MEIJI","371.95","492"
"IN0940707","POCKY","20.84","501"
"IN0318668","POCKY","8.32","200"
"IN0325909","PUCCHO","98.96","203"
"IN0009102","MEIJI","311.47","412"
"IN0889671","POCKY","9.73","234"
"IN0395586","PUCCHO","37.54","77"
"IN0033184","POCKY","17.18","413"
"IN0670952","MEIJI","221.51","293"
"IN0974403","MEIJI","11.34","15"
"IN0318493","PUCCHO","180.38","370"
"IN0111977","MEIJI","31.0","41"
"IN0296112","POCKY","12.56","302"
"IN0770730","MEIJI","257.8","341"
"IN0846042","PUCCHO","127.72","262"
"IN0311239","MEIJI","15.12","20"
"IN0846036","PUCCHO","76.54","157"
"IN0291000","POCKY","19.93","479"
"IN0810350","POCKY","12.73","306"
"IN0435317","MEIJI","145.91","193"
"IN0358232","MEIJI","39.31","52"
"IN0953665","MEIJI","378.76","501"
"IN0913238","PUCCHO","58.5","120"
"IN0813062","MEIJI","371.95","492"
"IN0665035","POCKY","4.7","113"
"IN0745336","POCKY","0.08","2"
"IN0865933","MEIJI","116.42","154"
"IN0986755","PUCCHO","242.78","498"
"IN0198336","MEIJI","59.72","79"
"IN0693783","PUCCHO","184.28","378"
"IN0539003","MEIJI","13.61","18"
"IN0687819","POCKY","10.15","244"
"IN0959771","PUCCHO","137.96","283"
"IN0080787","MEIJI","80.14","106"
"IN0842394","POCKY","0.04","1"
"IN0375116","POCKY","11.44","275"
"IN0678024","POCKY","5.37","129"
"IN0377734","MEIJI","153.47","203"
"IN0827662","POCKY","19.05","458"
"IN0780493","MEIJI","165.56","219"
"IN0248952","POCKY","11.27","271"
"IN0293449","MEIJI","118.69","157"
"IN0391163","MEIJI","259.31","343"
"IN0139633","PUCCHO","164.78","338"
"IN0070937","MEIJI","317.52","420"
"IN0759943","POCKY","7.53","181"
"IN0704244","POCKY","20.68","497"
"IN0969147","MEIJI","201.1","266"
"IN0775843","MEIJI","73.33","97"
"IN0157303","MEIJI","350.03","463"
"IN0074197","MEIJI","195.8","259"
"IN0499426","PUCCHO","116.51","239"
"IN0599963","PUCCHO","22.91","47"
"IN0230802","PUCCHO","26.81","55"
"IN0145813","POCKY","0.87","21"
"IN0342509","PUCCHO","7.8","16"
"IN0672076","MEIJI","297.11","393"
"IN0629379","MEIJI","80.89","107"
"IN0005779","MEIJI","52.92","70"
"IN0939431","POCKY","19.88","478"
"IN0731313","MEIJI","343.22","454"
"IN0811966","MEIJI","211.68","280"
"IN0274142","PUCCHO","212.06","435"
"IN0511990","MEIJI","292.57","387"
"IN0610551","POCKY","11.98","288"
"IN0807833","PUCCHO","20.96","43"
"IN0449062","PUCCHO","93.6","192"
"IN0046754","PUCCHO","231.07","474"
"IN0784179","PUCCHO","117.97","242"
"IN0230256","POCKY","10.23","246"
"IN0645537","PUCCHO","134.55","276"
"IN0899954","PUCCHO","162.82","334"
"IN0983310","MEIJI","16.63","22"
"IN0560350","POCKY","8.44","203"
"IN0309425","MEIJI","63.5","84"
"IN0368127","PUCCHO","56.06","115"
"IN0714854","PUCCHO","16.57","34"
"IN0842030","POCKY","0.96","23"
"IN0048375","MEIJI","123.98","164"
"IN0923513","PUCCHO","236.92","486"
"IN0190732","POCKY","4.04","97"
"IN0095175","POCKY","0.67","16"
"IN0210634","PUCCHO","102.38","210"
"IN0311805","POCKY","9.65","232"
"IN0463898","PUCCHO","140.4","288"
"IN0001960","POCKY","10.44","251"
"IN0251335","MEIJI","246.46","326"
"IN0492817","PUCCHO","166.72","342"
"IN0025113","PUCCHO","226.69","465"
"IN0146682","POCKY","18.39","442"
"IN0080175","PUCCHO","34.61","71"
"IN0444674","POCKY","4.83","116"
"IN0120304","POCKY","13.98","336"
"IN0946301","MEIJI","248.72","329"
"IN0223685","MEIJI","313.74","415"
"IN0523795","PUCCHO","202.31","415"
"IN0882155","PUCCHO","187.2","384"
"IN0075326","MEIJI","143.64","190"
"IN0674275","POCKY","13.23","318"
"IN0614308","MEIJI","65.02","86"
"IN0144539","PUCCHO","236.44","485"
"IN0089277","POCKY","7.28","175"
"IN0155124","MEIJI","58.97","78"
"IN0588761","PUCCHO","62.4","128"
"IN0934832","MEIJI","158.0","209"
"IN0142964","PUCCHO","60.94","125"
"IN0426280","PUCCHO","195.49","401"
"IN0949975","PUCCHO","241.8","496"
"IN0948435","MEIJI","308.45","408"
"IN0427174","PUCCHO","229.12","470"
"IN0778280","MEIJI","258.55","342"
"IN0012689","POCKY","15.02","361"
"IN0550845","POCKY","3.12","75"
"IN0819877","PUCCHO","92.14","189"
"IN0194979","PUCCHO","212.06","435"
"IN0090479","POCKY","19.34","465"
"IN0537051","PUCCHO","201.34","413"
"IN0738598","MEIJI","288.79","382"
"IN0098775","PUCCHO","123.34","253"
"IN0607376","MEIJI","179.17","237"
"IN0561049","MEIJI","64.26","85"
"IN0271695","PUCCHO","11.21","23"
"IN0808048","PUCCHO","47.29","97"
"IN0419509","POCKY","12.19","293"
"IN0520510","PUCCHO","37.54","77"
"IN0351828","PUCCHO","195.49","401"
"IN0208521","PUCCHO","85.8","176"
"IN0973611","MEIJI","279.72","370"
"IN0909325","MEIJI","371.2","491"
"IN0849760","POCKY","7.32","176"
"IN0033995","POCKY","19.26","463"
"IN0882150","MEIJI","120.2","159"
"IN0069924","MEIJI","331.88","439"
"IN0847472","MEIJI","334.91","443"
"IN0088220","PUCCHO","188.66","387"
"IN0095939","POCKY","2.7","65"
"IN0997988","POCKY","19.34","465"
"IN0927999","MEIJI","310.72","411"
"IN0948311","MEIJI","196.56","260"
"IN0222577","POCKY","5.91","142"
"IN0203334","MEIJI","265.36","351"
"IN0596241","POCKY","8.11","195"
"IN0145535","MEIJI","123.23","163"
"IN0514369","POCKY","12.69","305"
"IN0710787","PUCCHO","86.29","177"
"IN0456722","PUCCHO","180.86","371"
"IN0813833","PUCCHO","92.62","190"
"IN0685977","PUCCHO","43.88","90"
"IN0831549","MEIJI","58.21","77"
"IN0737608","MEIJI","37.04","49"
"IN0879470","PUCCHO","219.86","451"
"IN0044717","POCKY","1.96","47"
"IN0222586","POCKY","18.39","442"
"IN0510084","PUCCHO","210.6","432"
"IN0307314","PUCCHO","172.09","353"
"IN0458023","MEIJI","196.56","260"
"IN0723859","POCKY","7.45","179"
"IN0945934","POCKY","0.92","22"
"IN0252985","POCKY","7.24","174"
"IN0429461","MEIJI","324.32","429"
"IN0249693","MEIJI","90.72","120"
"IN0268967","POCKY","9.94","239"
"IN0251245","MEIJI","78.62","104"
"IN0665177","POCKY","19.55","470"
"IN0920499","MEIJI","123.98","164"
"IN0919824","PUCCHO","36.56","75"
"IN0903520","MEIJI","238.9","316"
"IN0354418","PUCCHO","92.14","189"
"IN0847918","MEIJI","245.7","325"
"IN0635688","MEIJI","182.2","241"
"IN0469930","PUCCHO","93.11","191"
"IN0844074","MEIJI","40.82","54"
"IN0453372","POCKY","4.99","120"
"IN0582794","POCKY","7.7","185"
"IN0309079","POCKY","6.99","168"
"IN0408921","PUCCHO","170.14","349"
"IN0233558","PUCCHO","160.88","330"
"IN0088412","MEIJI","316.76","419"
"IN0553366","POCKY","12.69","305"
"IN0853454","PUCCHO","143.81","295"
"IN0159286","POCKY","0.08","2"
"IN0853546","PUCCHO","201.82","414"
"IN0964164","MEIJI","52.92","70"
"IN0468392","PUCCHO","44.36","91"
"IN0585025","MEIJI","356.83","472"
"IN0530265","POCKY","16.06","386"
"IN0036208","MEIJI","17.39","23"
"IN0257139","PUCCHO","110.66","227"
"IN0143528","POCKY","3.99","96"
"IN0786597","PUCCHO","199.39","409"
"IN0206281","POCKY","14.98","360"
"IN0218358","POCKY","7.57","182"
"IN0771367","POCKY","9.98","240"
"IN0031201","POCKY","1.08","26"
"IN0078978","PUCCHO","168.67","346"
"IN0444610","PUCCHO","87.75","180"
"IN0723803","MEIJI","266.11","352"
"IN0674711","PUCCHO","5.36","11"
"IN0160259","PUCCHO","184.76","379"
"IN0917128","PUCCHO","108.71","223"
"IN0609318","POCKY","10.77","259"
"IN0687347","POCKY","7.24","174"
"IN0268359","POCKY","15.39","370"
"IN0333372","MEIJI","247.97","328"
"IN0442527","PUCCHO","90.67","186"
"IN0209916","MEIJI","365.15","483"
"IN0848716","POCKY","8.11","195"
"IN0358775","POCKY","16.93","407"
"IN0925198","PUCCHO","232.05","476"
"IN0029919","POCKY","14.35","345"
"IN0112286","MEIJI","358.34","474"
"IN0275460","POCKY","5.74","138"
"IN0864575","PUCCHO","131.62","270"
"IN0798255","POCKY","4.08","98"
"IN0197619","PUCCHO","47.77","98"
"IN0287975","PUCCHO","40.95","84"
"IN0298953","PUCCHO","130.65","268"
"IN0959430","MEIJI","252.5","334"
"IN0172084","POCKY","8.11","195"
"IN0937934","PUCCHO","198.9","408"
"IN0248085","PUCCHO","10.24","21"
"IN0115184","PUCCHO","139.91","287"
"IN0308352","POCKY","11.94","287"
"IN0193375","MEIJI","86.94","115"
"IN0214209","POCKY","17.35","417"
"IN0070205","POCKY","5.45","131"
"IN0473352","MEIJI","144.4","191"
"IN0145535","PUCCHO","178.42","366"
"IN0058352","PUCCHO","125.29","257"
"IN0216416","MEIJI","185.98","246"
"IN0559254","POCKY","2.04","49"
"IN0053091","MEIJI","178.42","236"
"IN0955505","PUCCHO","57.04","117"
"IN0103122","PUCCHO","93.6","192"
"IN0260312","POCKY","3.62","87"
"IN0654307","PUCCHO","45.34","93"
"IN0017606","MEIJI","16.63","22"
"IN0778248","PUCCHO","127.24","261"
"IN0003569","MEIJI","362.12","479"
"IN0179484","PUCCHO","234.0","480"
"IN0827878","MEIJI","231.34","306"
"IN0589862","PUCCHO","36.56","75"
"IN0964266","POCKY","11.4","274"
"IN0792708","MEIJI","275.18","364"
"IN0310419","MEIJI","321.3","425"
"IN0882282","POCKY","20.72","498"
"IN0126706","PUCCHO","212.55","436"
"IN0576372","PUCCHO","14.62","30"
"IN0620971","PUCCHO","118.46","243"
"IN0815384","PUCCHO","174.53","358"
"IN0696545","MEIJI","112.64","149"
"IN0183054","PUCCHO","82.88","170"
"IN0358461","MEIJI","289.55","383"
"IN0564500","MEIJI","201.1","266"
"IN0337107","PUCCHO","34.12","70"
"IN0814863","PUCCHO","136.99","281"
"IN0517208","POCKY","13.4","322"
"IN0860709","POCKY","15.48","372"
"IN0104888","POCKY","17.85","429"
"IN0229920","POCKY","13.69","329"
"IN0140428","POCKY","3.0","72"
"IN0796984","POCKY","4.66","112"
"IN0605544","POCKY","1.75","42"
"IN0462047","PUCCHO","17.55","36"
"IN0003447","MEIJI","263.84","349"
"IN0125217","PUCCHO","136.01","279"
"IN0073376","MEIJI","319.79","423"
"IN0617842","PUCCHO","44.36","91"
"IN0796056","MEIJI","311.47","412"
"IN0110845","POCKY","2.75","66"
"IN0245779","PUCCHO","128.21","263"
"IN0529524","POCKY","4.33","104"
"IN0290549","PUCCHO","187.2","384"
"IN0918175","POCKY","13.85","333"
"IN0765380","PUCCHO","16.57","34"
"IN0420073","PUCCHO","226.69","465"
"IN0104118","POCKY","7.07","170"
"IN0795280","PUCCHO","19.99","41"
"IN0913056","MEIJI","130.03","172"
"IN0398855","MEIJI","344.74","456"
"IN0072560","POCKY","1.12","27"
"IN0206900","POCKY","1.16","28"
"IN0032368","MEIJI","202.61","268"
"IN0464201","POCKY","18.55","446"
"IN0326150","POCKY","20.34","489"
"IN0999519","POCKY","9.69","233"
"IN0005216","PUCCHO","211.57","434"
"IN0596098","POCKY","6.49","156"
"IN0215042","MEIJI","278.21","368"
"IN0634266","MEIJI","228.31","302"
"IN0633934","POCKY","18.51","445"
"IN0504849","PUCCHO","154.54","317"
"IN0892142","PUCCHO","60.94","125"
"IN0754828","PUCCHO","43.39","89"
"IN0086258","PUCCHO","161.85","332"
"IN0911481","MEIJI","173.12","229"
"IN0112970","PUCCHO","143.32","294"
"IN0522159","POCKY","17.26","415"
"IN0263696","POCKY","3.41","82"
"IN0475244","PUCCHO","32.17","66"
"IN0091472","POCKY","4.37","105"
"IN0816740","PUCCHO","96.52","198"
"IN0269445","POCKY","18.51","445"
"IN0575946","PUCCHO","40.95","84"
"IN0391787","POCKY","9.36","225"
"IN0511159","PUCCHO","61.42","126"
"IN0405812","PUCCHO","28.76","59"
"IN0137006","MEIJI","37.04","49"
"IN0062302","MEIJI","217.73","288"
"IN0807833","PUCCHO","92.62","190"
"IN0009140","PUCCHO","176.47","362"
"IN0829452","POCKY","13.23","318"
"IN0370308","PUCCHO","189.15","388"
"IN0576358","PUCCHO","58.5","120"
"IN0597242","MEIJI","255.53","338"
"IN0045045","POCKY","12.23","294"
"IN0747731","PUCCHO","96.52","198"
"IN0080660","MEIJI","139.86","185"
"IN0388577","POCKY","18.93","455"
"IN0274833","MEIJI","220.75","292"
"IN0503119","PUCCHO","64.84","133"
"IN0917128","MEIJI","304.67","403"
"IN0626837","POCKY","13.56","326"
"IN0984804","PUCCHO","173.06","355"
"IN0434669","PUCCHO","105.79","217"
"IN0964266","MEIJI","230.58","305"
"IN0520815","POCKY","1.66","40"
"IN0561853","POCKY","15.68","377"
"IN0915121","PUCCHO","78.49","161"
"IN0508002","POCKY","13.73","330"
"IN0998989","PUCCHO","101.89","209"
"IN0588761","MEIJI","216.97","287"
"IN0316186","MEIJI","226.8","300"
"IN0045891","MEIJI","97.52","129"
"IN0305298","MEIJI","278.96","369"
"IN0970363","POCKY","18.55","446"
"IN0187756","PUCCHO","102.38","210"
"IN0408217","POCKY","2.7","65"
"IN0278972","PUCCHO","69.22","142"
"IN0456696","MEIJI","77.87","103"
"IN0768706","PUCCHO","182.32","374"
"IN0064986","POCKY","9.94","239"
"IN0570480","MEIJI","90.72","120"
"IN0397718","MEIJI","160.27","212"
"IN0913719","MEIJI","236.63","313"
"IN0893446","POCKY","9.9","238"
"IN0943454","PUCCHO","175.01","359"
"IN0312440","POCKY","6.7","161"
"IN0938221","MEIJI","340.96","451"
"IN0150609","POCKY","20.76","499"
"IN0265010","POCKY","4.74","114"
"IN0292431","PUCCHO","22.43","46"
"IN0578333","MEIJI","107.35","142"
"IN0413716","MEIJI","99.04","131"
"IN0862619","MEIJI","264.6","350"
"IN0891136","PUCCHO","67.27","138"
"IN0505241","MEIJI","48.38","64"
"IN0373603","PUCCHO","92.14","189"
"IN0374134","POCKY","15.97","384"
"IN0684454","PUCCHO","214.5","440"
"IN0854697","PUCCHO","179.89","369"
"IN0047032","PUCCHO","224.25","460"
"IN0993886","MEIJI","365.15","483"
"IN0710275","PUCCHO","132.11","271"
"IN0963049","POCKY","6.7","161"
"IN0880578","PUCCHO","76.54","157"
"IN0220195","POCKY","17.26","415"
"IN0831962","PUCCHO","35.59","73"
"IN0070996","PUCCHO","59.48","122"
"IN0710692","MEIJI","319.79","423"
"IN0549104","PUCCHO","4.88","10"
"IN0795280","PUCCHO","83.85","172"
"IN0415798","POCKY","15.35","369"
"IN0805603","PUCCHO","39.0","80"
"IN0091223","PUCCHO","117.97","242"
"IN0069844","PUCCHO","204.75","420"
"IN0519147","PUCCHO","76.54","157"
"IN0263439","PUCCHO","102.86","211"
"IN0855354","POCKY","9.69","233"
"IN0259672","POCKY","14.6","351"
"IN0894354","MEIJI","73.33","97"
"IN0650968","POCKY","4.62","111"
"IN0068168","MEIJI","29.48","39"
"IN0974876","PUCCHO","179.89","369"
"IN0459405","MEIJI","294.08","389"
"IN0760932","POCKY","15.18","365"
"IN0272410","PUCCHO","97.01","199"
"IN0370875","POCKY","13.77","331"
"IN0879158","POCKY","19.18","461"
"IN0594270","POCKY","11.23","270"
"IN0002773","PUCCHO","222.79","457"
"IN0423119","PUCCHO","34.12","70"
"IN0907898","PUCCHO","45.34","93"
"IN0613644","POCKY","1.75","42"
"IN0145506","POCKY","20.76","499"
"IN0028884","MEIJI","253.26","335"
"IN0872563","MEIJI","210.17","278"
"IN0927126","POCKY","18.8","452"
"IN0836366","MEIJI","297.86","394"
"IN0664371","PUCCHO","210.11","431"
"IN0206226","POCKY","19.8","476"
"IN0015811","PUCCHO","243.75","500"
"IN0135312","MEIJI","112.64","149"
"IN0455167","MEIJI","273.67","362"
"IN0390494","PUCCHO","58.5","120"
"IN0184012","PUCCHO","199.39","409"
"IN0895489","PUCCHO","56.06","115"
"IN0046012","MEIJI","207.14","274"
"IN0326157","POCKY","0.42","10"
"IN0802223","PUCCHO","215.96","443"
"IN0721620","POCKY","9.78","235"
"IN0541316","PUCCHO","111.15","228"
"IN0256871","MEIJI","164.81","218"
"IN0177033","PUCCHO","128.21","263"
"IN0696955","MEIJI","99.04","131"
"IN0411760","PUCCHO","234.0","480"
"IN0839899","PUCCHO","57.52","118"
"IN0325249","PUCCHO","79.95","164"
"IN0885740","POCKY","18.8","452"
"IN0067879","MEIJI","15.88","21"
"IN0977228","PUCCHO","30.71","63"
"IN0382276","PUCCHO","24.38","50"
"IN0143000","MEIJI","246.46","326"
"IN0504242","PUCCHO","52.65","108"
"IN0968277","MEIJI","290.3","384"
"IN0257867","POCKY","11.36","273"
"IN0855057","POCKY","14.48","348"
"IN0872884","POCKY","12.11","291"
"IN0991901","PUCCHO","26.32","54"
"IN0168052","POCKY","12.85","309"
"IN0783462","PUCCHO","102.86","211"
"IN0633397","MEIJI","340.96","451"
"IN0628725","MEIJI","49.14","65"
"IN0186272","PUCCHO","127.72","262"
"IN0055376","POCKY","5.32","128"
"IN0787512","MEIJI","139.1","184"
"IN0739326","POCKY","7.07","170"
"IN0033796","PUCCHO","2.92","6"
"IN0539570","MEIJI","114.16","151"
"IN0356000","POCKY","19.09","459"
"IN0340133","POCKY","13.19","317"
"IN0022730","MEIJI","39.31","52"
"IN0222750","MEIJI","115.67","153"
"IN0783197","PUCCHO","182.81","375"
"IN0795357","PUCCHO","59.48","122"
"IN0186666","MEIJI","158.76","210"
"IN0229725","PUCCHO","41.44","85"
"IN0869975","MEIJI","87.7","116"
"IN0332726","MEIJI","192.78","255"
"IN0808191","MEIJI","322.06","426"
"IN0514128","PUCCHO","45.82","94"
"IN0229895","MEIJI","136.08","180"
"IN0313375","MEIJI","128.52","170"
"IN0681907","PUCCHO","118.95","244"
"IN0659380","MEIJI","117.94","156"
